Ybracket,Year,NumRet,AGI,AvTax,Deductions,Eclass,PerCapitaAGI,PercentageDeductions
"$1,000,000 under $1,500,000 ",2011,134907,163095632,24.9,23686015,Top 2%,1208.948624,0.14522777
"$1,500,000 under $2,000,000",2011,55986,96283523,25.2,13714781,Top 2%,1719.77857,0.14244162
"$2,000,000 under $5,000,000 ",2011,79363,236075612,25.0,32109609,Top 2%,2974.630647,0.136014088
"$5,000,000 under $10,000,000",2011,19189,130763563,24.2,17236585,Top 2%,6814.506384,0.131814893
"$10,000,000 or more ",2011,11445,321636083,20.5,46814490,Top 2%,28102.75955,0.145551113
"$1 under $1,000 ",2012,1629226,763369,4.5,14490253,Bottom 50%,0.468547028,18.98197726
"$1,000 under $3,000 ",2012,4243578,8604943,3.4,32026583,Bottom 50%,2.02775653,3.721882062
"$3,000 under $5,000 ",2012,4396680,17582339,3.9,42075649,Bottom 50%,3.999003566,2.393063232
"$5,000 under $7,000 ",2012,4462607,26757452,1.4,49328901,Bottom 50%,5.995923907,1.843557488
"$7,000 under $9,000 ",2012,4630674,37091017,2.8,55873570,Bottom 50%,8.009852777,1.506390887
"$9,000 under $11,000",2012,5327229,53128745,2.6,71583359,Bottom 50%,9.973054472,1.347356483
"$11,000 under $13,000 ",2012,4998269,60004015,2.2,70725793,Bottom 50%,12.00495912,1.178684343
"$13,000 under $15,000 ",2012,5167053,72220450,3.1,77783868,Bottom 50%,13.97710649,1.077033832
"$15,000 under $17,000 ",2012,4956849,79326548,3.7,77229069,Bottom 50%,16.00342234,0.973558928
"$17,000 under $19,000 ",2012,4503692,81046998,4.2,70484292,Bottom 50%,17.99567954,0.869671842
"$19,000 under $22,000 ",2012,6506878,133278206,4.8,104456476,Bottom 50%,20.48266557,0.783747614
"$22,000 under $25,000 ",2012,5887468,138120930,5.3,96721728,Bottom 50%,23.46015808,0.700268439
"$25,000 under $30,000 ",2012,8736282,239656974,6.1,147832382,Bottom 50%,27.43237615,0.616849906
"$30,000 under $40,000 ",2012,14458118,502904418,6.8,256489359,Middle Class,34.78353255,0.510016118
"$40,000 under $50,000 ",2012,10886746,487336722,7.4,206292191,Middle Class,44.76422266,0.423305246
"$50,000 under $75,000 ",2012,19015017,1170317718,8.6,418172724,Middle Class,61.54702454,0.357315554
"$75,000 under $100,000",2012,12199433,1054892973,9.5,323105709,Middle Class,86.47065589,0.306292408
"$100,000 under $200,000",2012,15669954,2103735185,12.7,531093466,Middle Class,134.252799,0.252452623
"$200,000 under $500,000 ",2012,4178553,1194018058,19.7,225204838,Top 2%,285.7491715,0.188610915
"$500,000 under $1,000,000",2012,692610,469208271,24.3,65386795,Top 2%,677.4494607,0.139355589
"$1,000,000 under $1,500,000 ",2012,163476,197597874,25.0,23357357,Top 2%,1208.727116,0.11820652
"$1,500,000 under $2,000,000",2012,73203,125739390,25.3,14297613,Top 2%,1717.680833,0.113708306
"$2,000,000 under $5,000,000 ",2012,106503,318977984,25.1,33436591,Top 2%,2995.014075,0.104824134
"$5,000,000 under $10,000,000",2012,27087,187919357,24.6,18040586,Top 2%,6937.621627,0.096001744
"$10,000,000 or more ",2012,18403,454791719,22.5,47233894,Top 2%,24712.91197,0.103858298
